age,UK,England,London
12_15,2964509,2513686,409942
16_17,1427406,1206160,188846
18_24,5647655,4746616,747203
25_29,4514249,3801409,784361
30_34,4497132,3807954,849074
35_39,4395667,3733642,783331
40_44,4019539,3414297,646347
45_49,4402122,3715812,596141
50_54,4661015,3907461,564205
55_59,4405908,3670651,479470
60_64,3755185,3111835,378068
65_69,3368199,2796740,309586
70_74,3318867,2779326,265847
75_79,2325296,1940686,189753
80_84,1715328,1439913,147303
85_89,1042090,879778,91993
90+,605181,517273,54731
